"row_id","roster","coverage_status","category","brand","model_family","symptom_id","capability_tier","model_source_id","troubleshooting_source_ids","proposed_profile","gap_count","verified_on"
"maytag-mvw5430mw__will-not-drain","existing-131","implemented","washer","Maytag","MVW5430MW","will-not-drain","guided-checks","maytag-mvw5430mw-model","maytag-top-load-no-drain","washer-hose-only","0","2026-08-28"
"maytag-mvw5430mw__door-will-not-close","existing-131","candidate","washer","Maytag","MVW5430MW","door-will-not-close","guided-checks","maytag-mvw5430mw-model","maytag-top-washer-lid","washer-door-closure-observation","2","2026-08-28"
"maytag-mvw5430mw__slow-water-flow","existing-131","unsupported","washer","Maytag","MVW5430MW","slow-water-flow","unsupported","maytag-mvw5430mw-model","","","1","2026-08-28"
"whirlpool-wdt750sakz1__will-not-drain","existing-131","implemented","dishwasher","Whirlpool","WDT750SAKZ1","will-not-drain","purchase-ready","whirlpool-wdt750sakz1-model","whirlpool-dishwasher-drain","dishwasher-drain","0","2026-08-28"
"whirlpool-wdt750sakz1__door-will-not-close","existing-131","candidate","dishwasher","Whirlpool","WDT750SAKZ1","door-will-not-close","guided-checks","whirlpool-wdt750sakz1-model","whirlpool-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"whirlpool-wdt750sakz1__slow-water-flow","existing-131","unsupported","dishwasher","Whirlpool","WDT750SAKZ1","slow-water-flow","unsupported","whirlpool-wdt750sakz1-model","","","1","2026-08-28"
"bosch-shpm65z55n20__will-not-drain","existing-131","implemented","dishwasher","Bosch","SHPM65Z55N/20","will-not-drain","guided-checks","bosch-shpm65z55n20-model","bosch-dishwasher-drain","dishwasher-drain","0","2026-08-28"
"bosch-shpm65z55n20__door-will-not-close","existing-131","candidate","dishwasher","Bosch","SHPM65Z55N/20","door-will-not-close","guided-checks","bosch-shpm65z55n20-model","bosch-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"bosch-shpm65z55n20__slow-water-flow","existing-131","unsupported","dishwasher","Bosch","SHPM65Z55N/20","slow-water-flow","unsupported","bosch-shpm65z55n20-model","","","1","2026-08-28"
"ge-gdf670syvfs__will-not-drain","existing-131","implemented","dishwasher","GE","GDF670SYVFS","will-not-drain","guided-checks","ge-gdf670syvfs-model","ge-dishwasher-support","dishwasher-drain","0","2026-08-28"
"ge-gdf670syvfs__door-will-not-close","existing-131","candidate","dishwasher","GE","GDF670SYVFS","door-will-not-close","guided-checks","ge-gdf670syvfs-model","ge-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"ge-gdf670syvfs__slow-water-flow","existing-131","unsupported","dishwasher","GE","GDF670SYVFS","slow-water-flow","unsupported","ge-gdf670syvfs-model","","","1","2026-08-28"
"kitchenaid-kdtm404kps__will-not-drain","existing-131","implemented","dishwasher","KitchenAid","KDTM404KPS","will-not-drain","guided-checks","kitchenaid-kdtm404kps-model","kitchenaid-dishwasher-support","dishwasher-drain","0","2026-08-28"
"kitchenaid-kdtm404kps__door-will-not-close","existing-131","candidate","dishwasher","KitchenAid","KDTM404KPS","door-will-not-close","guided-checks","kitchenaid-kdtm404kps-model","kitchenaid-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"kitchenaid-kdtm404kps__slow-water-flow","existing-131","unsupported","dishwasher","KitchenAid","KDTM404KPS","slow-water-flow","unsupported","kitchenaid-kdtm404kps-model","","","1","2026-08-28"
"ge-gtd42easj2ww__will-not-drain","existing-131","unsupported","dryer","GE","GTD42EASJ2WW","will-not-drain","unsupported","ge-gtd42easj2ww-model","","","1","2026-08-28"
"ge-gtd42easj2ww__door-will-not-close","existing-131","implemented","dryer","GE","GTD42EASJ2WW","door-will-not-close","purchase-ready","ge-gtd42easj2ww-model","ge-dryer-door","dryer-door-strike","0","2026-08-28"
"ge-gtd42easj2ww__slow-water-flow","existing-131","unsupported","dryer","GE","GTD42EASJ2WW","slow-water-flow","unsupported","ge-gtd42easj2ww-model","","","1","2026-08-28"
"whirlpool-wed4950hw__will-not-drain","existing-131","unsupported","dryer","Whirlpool","WED4950HW","will-not-drain","unsupported","whirlpool-wed4950hw-model","","","1","2026-08-28"
"whirlpool-wed4950hw__door-will-not-close","existing-131","implemented","dryer","Whirlpool","WED4950HW","door-will-not-close","purchase-ready","whirlpool-wed4950hw-model","whirlpool-dryer-support","dryer-door-strike","0","2026-08-28"
"whirlpool-wed4950hw__slow-water-flow","existing-131","unsupported","dryer","Whirlpool","WED4950HW","slow-water-flow","unsupported","whirlpool-wed4950hw-model","","","1","2026-08-28"
"maytag-med4500mw__will-not-drain","existing-131","unsupported","dryer","Maytag","MED4500MW","will-not-drain","unsupported","maytag-med4500mw-model","","","1","2026-08-28"
"maytag-med4500mw__door-will-not-close","existing-131","implemented","dryer","Maytag","MED4500MW","door-will-not-close","purchase-ready","maytag-med4500mw-model","maytag-dryer-support","dryer-door-strike","0","2026-08-28"
"maytag-med4500mw__slow-water-flow","existing-131","unsupported","dryer","Maytag","MED4500MW","slow-water-flow","unsupported","maytag-med4500mw-model","","","1","2026-08-28"
"lg-dle3400w__will-not-drain","existing-131","unsupported","dryer","LG","DLE3400W","will-not-drain","unsupported","lg-dle3400w-model","","","1","2026-08-28"
"lg-dle3400w__door-will-not-close","existing-131","implemented","dryer","LG","DLE3400W","door-will-not-close","guided-checks","lg-dle3400w-model","lg-dryer-support","dryer-door-strike","0","2026-08-28"
"lg-dle3400w__slow-water-flow","existing-131","unsupported","dryer","LG","DLE3400W","slow-water-flow","unsupported","lg-dle3400w-model","","","1","2026-08-28"
"ge-gss25gypfs__will-not-drain","existing-131","unsupported","refrigerator","GE","GSS25GYPFS","will-not-drain","unsupported","ge-gss25gypfs-model","","","1","2026-08-28"
"ge-gss25gypfs__door-will-not-close","existing-131","candidate","refrigerator","GE","GSS25GYPFS","door-will-not-close","guided-checks","ge-gss25gypfs-model","ge-refrigerator-door","refrigerator-door-closure-observation","2","2026-08-28"
"ge-gss25gypfs__slow-water-flow","existing-131","implemented","refrigerator","GE","GSS25GYPFS","slow-water-flow","purchase-ready","ge-gss25gypfs-model","ge-refrigerator-water","refrigerator-water-filter","0","2026-08-28"
"whirlpool-wrs315sdhz__will-not-drain","existing-131","unsupported","refrigerator","Whirlpool","WRS315SDHZ","will-not-drain","unsupported","whirlpool-wrs315sdhz-model","","","1","2026-08-28"
"whirlpool-wrs315sdhz__door-will-not-close","existing-131","candidate","refrigerator","Whirlpool","WRS315SDHZ","door-will-not-close","guided-checks","whirlpool-wrs315sdhz-model","whirlpool-refrigerator-door","refrigerator-door-closure-observation","2","2026-08-28"
"whirlpool-wrs315sdhz__slow-water-flow","existing-131","implemented","refrigerator","Whirlpool","WRS315SDHZ","slow-water-flow","purchase-ready","whirlpool-wrs315sdhz-model","whirlpool-refrigerator-support","refrigerator-water-filter","0","2026-08-28"
"samsung-rf28t5001sr__will-not-drain","existing-131","unsupported","refrigerator","Samsung","RF28T5001SR","will-not-drain","unsupported","samsung-rf28t5001sr-model","","","1","2026-08-28"
"samsung-rf28t5001sr__door-will-not-close","existing-131","candidate","refrigerator","Samsung","RF28T5001SR","door-will-not-close","guided-checks","samsung-rf28t5001sr-model","samsung-refrigerator-door","refrigerator-door-closure-observation","2","2026-08-28"
"samsung-rf28t5001sr__slow-water-flow","existing-131","implemented","refrigerator","Samsung","RF28T5001SR","slow-water-flow","purchase-ready","samsung-rf28t5001sr-model","samsung-refrigerator-support","refrigerator-water-filter","0","2026-08-28"
"lg-lrflc2706s__will-not-drain","existing-131","unsupported","refrigerator","LG","LRFLC2706S","will-not-drain","unsupported","lg-lrflc2706s-model","","","1","2026-08-28"
"lg-lrflc2706s__door-will-not-close","existing-131","candidate","refrigerator","LG","LRFLC2706S","door-will-not-close","guided-checks","lg-lrflc2706s-model","lg-refrigerator-door","refrigerator-door-closure-observation","2","2026-08-28"
"lg-lrflc2706s__slow-water-flow","existing-131","implemented","refrigerator","LG","LRFLC2706S","slow-water-flow","purchase-ready","lg-lrflc2706s-model","lg-refrigerator-support","refrigerator-water-filter","0","2026-08-28"
"frigidaire-fftw4120sw__will-not-drain","existing-131","implemented","washer","Frigidaire","FFTW4120SW","will-not-drain","guided-checks","frigidaire-fftw4120sw-model","frigidaire-washer-support","washer-hose-only","0","2026-08-28"
"frigidaire-fftw4120sw__door-will-not-close","existing-131","unsupported","washer","Frigidaire","FFTW4120SW","door-will-not-close","unsupported","frigidaire-fftw4120sw-model","","","1","2026-08-28"
"frigidaire-fftw4120sw__slow-water-flow","existing-131","unsupported","washer","Frigidaire","FFTW4120SW","slow-water-flow","unsupported","frigidaire-fftw4120sw-model","","","1","2026-08-28"
"frigidaire-fffw5000qw__will-not-drain","existing-131","implemented","washer","Frigidaire","FFFW5000QW","will-not-drain","guided-checks","frigidaire-fffw5000qw-model","frigidaire-washer-support","washer-hose-only","0","2026-08-28"
"frigidaire-fffw5000qw__door-will-not-close","existing-131","unsupported","washer","Frigidaire","FFFW5000QW","door-will-not-close","unsupported","frigidaire-fffw5000qw-model","","","1","2026-08-28"
"frigidaire-fffw5000qw__slow-water-flow","existing-131","unsupported","washer","Frigidaire","FFFW5000QW","slow-water-flow","unsupported","frigidaire-fffw5000qw-model","","","1","2026-08-28"
"amana-ntw4519jw__will-not-drain","existing-131","implemented","washer","Amana","NTW4519JW","will-not-drain","guided-checks","amana-ntw4519jw-model","amana-washer-support","washer-hose-only","0","2026-08-28"
"amana-ntw4519jw__door-will-not-close","existing-131","candidate","washer","Amana","NTW4519JW","door-will-not-close","guided-checks","amana-ntw4519jw-model","amana-top-washer-lid","washer-door-closure-observation","2","2026-08-28"
"amana-ntw4519jw__slow-water-flow","existing-131","unsupported","washer","Amana","NTW4519JW","slow-water-flow","unsupported","amana-ntw4519jw-model","","","1","2026-08-28"
"hotpoint-htw240askws__will-not-drain","existing-131","implemented","washer","Hotpoint","HTW240ASKWS","will-not-drain","guided-checks","hotpoint-htw240askws-model","ge-top-load-no-drain","washer-hose-only","0","2026-08-28"
"hotpoint-htw240askws__door-will-not-close","existing-131","unsupported","washer","Hotpoint","HTW240ASKWS","door-will-not-close","unsupported","hotpoint-htw240askws-model","","","1","2026-08-28"
"hotpoint-htw240askws__slow-water-flow","existing-131","unsupported","washer","Hotpoint","HTW240ASKWS","slow-water-flow","unsupported","hotpoint-htw240askws-model","","","1","2026-08-28"
"lg-ldfn4542s__will-not-drain","existing-131","implemented","dishwasher","LG","LDFN4542S","will-not-drain","guided-checks","lg-ldfn4542s-model","lg-dishwasher-support","dishwasher-drain","0","2026-08-28"
"lg-ldfn4542s__door-will-not-close","existing-131","unsupported","dishwasher","LG","LDFN4542S","door-will-not-close","unsupported","lg-ldfn4542s-model","","","1","2026-08-28"
"lg-ldfn4542s__slow-water-flow","existing-131","unsupported","dishwasher","LG","LDFN4542S","slow-water-flow","unsupported","lg-ldfn4542s-model","","","1","2026-08-28"
"samsung-dw80cg4021sr__will-not-drain","existing-131","implemented","dishwasher","Samsung","DW80CG4021SR","will-not-drain","guided-checks","samsung-dw80cg4021sr-model","samsung-dishwasher-support","dishwasher-drain","0","2026-08-28"
"samsung-dw80cg4021sr__door-will-not-close","existing-131","candidate","dishwasher","Samsung","DW80CG4021SR","door-will-not-close","guided-checks","samsung-dw80cg4021sr-model","samsung-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"samsung-dw80cg4021sr__slow-water-flow","existing-131","unsupported","dishwasher","Samsung","DW80CG4021SR","slow-water-flow","unsupported","samsung-dw80cg4021sr-model","","","1","2026-08-28"
"amana-adb1400agw__will-not-drain","existing-131","implemented","dishwasher","Amana","ADB1400AGW","will-not-drain","guided-checks","amana-adb1400agw-model","amana-dishwasher-filter","dishwasher-drain","0","2026-08-28"
"amana-adb1400agw__door-will-not-close","existing-131","unsupported","dishwasher","Amana","ADB1400AGW","door-will-not-close","unsupported","amana-adb1400agw-model","","","1","2026-08-28"
"amana-adb1400agw__slow-water-flow","existing-131","unsupported","dishwasher","Amana","ADB1400AGW","slow-water-flow","unsupported","amana-adb1400agw-model","","","1","2026-08-28"
"frigidaire-fdph4316as__will-not-drain","existing-131","implemented","dishwasher","Frigidaire","FDPH4316AS","will-not-drain","guided-checks","frigidaire-fdph4316as-model","frigidaire-dishwasher-support","dishwasher-drain","0","2026-08-28"
"frigidaire-fdph4316as__door-will-not-close","existing-131","candidate","dishwasher","Frigidaire","FDPH4316AS","door-will-not-close","guided-checks","frigidaire-fdph4316as-model","frigidaire-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"frigidaire-fdph4316as__slow-water-flow","existing-131","unsupported","dishwasher","Frigidaire","FDPH4316AS","slow-water-flow","unsupported","frigidaire-fdph4316as-model","","","1","2026-08-28"
"bosch-shem63w55n01__will-not-drain","existing-131","implemented","dishwasher","Bosch","SHEM63W55N/01","will-not-drain","guided-checks","bosch-shem63w55n01-model","bosch-dishwasher-drain","dishwasher-drain","0","2026-08-28"
"bosch-shem63w55n01__door-will-not-close","existing-131","candidate","dishwasher","Bosch","SHEM63W55N/01","door-will-not-close","guided-checks","bosch-shem63w55n01-model","bosch-dishwasher-door","dishwasher-door-closure-observation","2","2026-08-28"
"bosch-shem63w55n01__slow-water-flow","existing-131","unsupported","dishwasher","Bosch","SHEM63W55N/01","slow-water-flow","unsupported","bosch-shem63w55n01-model","","","1","2026-08-28"
"samsung-dve45t6000w__will-not-drain","existing-131","unsupported","dryer","Samsung","DVE45T6000W","will-not-drain","unsupported","samsung-dve45t6000w-model","","","1","2026-08-28"
"samsung-dve45t6000w__door-will-not-close","existing-131","implemented","dryer","Samsung","DVE45T6000W","door-will-not-close","guided-checks","samsung-dve45t6000w-model","samsung-dryer-support","dryer-door-strike","0","2026-08-28"
"samsung-dve45t6000w__slow-water-flow","existing-131","unsupported","dryer","Samsung","DVE45T6000W","slow-water-flow","unsupported","samsung-dve45t6000w-model","","","1","2026-08-28"
"electrolux-elfe7637at__will-not-drain","existing-131","unsupported","dryer","Electrolux","ELFE7637AT","will-not-drain","unsupported","electrolux-elfe7637at-model","","","1","2026-08-28"
"electrolux-elfe7637at__door-will-not-close","existing-131","implemented","dryer","Electrolux","ELFE7637AT","door-will-not-close","guided-checks","electrolux-elfe7637at-model","electrolux-dryer-support","dryer-door-strike","0","2026-08-28"
"electrolux-elfe7637at__slow-water-flow","existing-131","unsupported","dryer","Electrolux","ELFE7637AT","slow-water-flow","unsupported","electrolux-elfe7637at-model","","","1","2026-08-28"
"frigidaire-ffre4120sw__will-not-drain","existing-131","unsupported","dryer","Frigidaire","FFRE4120SW","will-not-drain","unsupported","frigidaire-ffre4120sw-model","","","1","2026-08-28"
"frigidaire-ffre4120sw__door-will-not-close","existing-131","implemented","dryer","Frigidaire","FFRE4120SW","door-will-not-close","guided-checks","frigidaire-ffre4120sw-model","frigidaire-dryer-support","dryer-door-strike","0","2026-08-28"
"frigidaire-ffre4120sw__slow-water-flow","existing-131","unsupported","dryer","Frigidaire","FFRE4120SW","slow-water-flow","unsupported","frigidaire-ffre4120sw-model","","","1","2026-08-28"
"amana-ned4655ew__will-not-drain","existing-131","unsupported","dryer","Amana","NED4655EW","will-not-drain","unsupported","amana-ned4655ew-model","","","1","2026-08-28"
"amana-ned4655ew__door-will-not-close","existing-131","implemented","dryer","Amana","NED4655EW","door-will-not-close","purchase-ready","amana-ned4655ew-model","amana-dryer-support","dryer-door-strike","0","2026-08-28"
"amana-ned4655ew__slow-water-flow","existing-131","unsupported","dryer","Amana","NED4655EW","slow-water-flow","unsupported","amana-ned4655ew-model","","","1","2026-08-28"
"hotpoint-htx24easkws__will-not-drain","existing-131","unsupported","dryer","Hotpoint","HTX24EASKWS","will-not-drain","unsupported","hotpoint-htx24easkws-model","","","1","2026-08-28"
"hotpoint-htx24easkws__door-will-not-close","existing-131","implemented","dryer","Hotpoint","HTX24EASKWS","door-will-not-close","guided-checks","hotpoint-htx24easkws-model","ge-dryer-door","dryer-door-strike","0","2026-08-28"
"hotpoint-htx24easkws__slow-water-flow","existing-131","unsupported","dryer","Hotpoint","HTX24EASKWS","slow-water-flow","unsupported","hotpoint-htx24easkws-model","","","1","2026-08-28"
"frigidaire-frss2623as__will-not-drain","existing-131","unsupported","refrigerator","Frigidaire","FRSS2623AS","will-not-drain","unsupported","frigidaire-frss2623as-model","","","1","2026-08-28"
"frigidaire-frss2623as__door-will-not-close","existing-131","candidate","refrigerator","Frigidaire","FRSS2623AS","door-will-not-close","guided-checks","frigidaire-frss2623as-model","frigidaire-refrigerator-door","refrigerator-door-closure-observation","2","2026-08-28"
"frigidaire-frss2623as__slow-water-flow","existing-131","implemented","refrigerator","Frigidaire","FRSS2623AS","slow-water-flow","guided-checks","frigidaire-frss2623as-model","frigidaire-refrigerator-support","refrigerator-water-filter","0","2026-08-28"
"amana-asi2175grs__will-not-drain","existing-131","unsupported","refrigerator","Amana","ASI2175GRS","will-not-drain","unsupported","amana-asi2175grs-model","","","1","2026-08-28"
"amana-asi2175grs__door-will-not-close","existing-131","candidate","refrigerator","Amana","ASI2175GRS","door-will-not-close","guided-checks","amana-asi2175grs-model","amana-refrigerator-door","refrigerator-door-closure-observation","2","2026-08-28"
