category,role,publisher,domain,url,appliesTo,primaryManufacturerEvidence,authorizedFitEvidence,reviewedOn,reviewObservation
washer,model-identity,Maytag,www.maytag.com,https://www.maytag.com/owners-center-pdp.MHW5500FW.html,MHW5500FW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Amana,www.amana.com,https://www.amana.com/laundry/washers/top-load/p.4.3-cu.-ft.-front-load-washer-with-large-capacity.nfw5800hw.html,NFW5800HW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating_-_Front_Load_Washer,Amana front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Spinning/Not_Spinning_-_Front_Load_Washer,Amana front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Front_Load_Washers/Leaking/Leaking_from_Underneath_or_Bottom_-_Front_Load_Washer,Amana front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Electrolux,www.electrolux.com,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7337AW,ELFW7337AW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Electrolux,frigidaire.bynder.com,https://frigidaire.bynder.com/asset/eba93fb2-1a4d-4766-b03a-81b69b8eba26/A20448610-en-pdf.pdf,ELFW7337AW; linked as Complete Owner's Guide from the exact Electrolux model page,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Electrolux,www.electrolux.com,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7738AA,ELFW7738AA,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GTW325ASWWW/support,GTW325ASWWW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,LG,www.lg.com,https://www.lg.com/us/support/product/lg-WM6500HBA.ABLEVUS?tab=1,WM6500HBA,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,LG,www.lg.com,https://www.lg.com/us/support/help-library/lg-front-load-washer-error-code-list-CT10000010-20155069413456,LG front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,GE,products.geappliances.com,https://products.geappliances.com/appliance/gea-specs/GTW385ASWWS/support,GTW385ASWWS,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,model-identity,Whirlpool,www.whirlpool.com,https://www.whirlpool.com/owners-center-pdp.WTW6157PW.html,WTW6157PW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Whirlpool,producthelp.whirlpool.com,https://producthelp.whirlpool.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Lid_Not_Latching_-_Washer,Whirlpool top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Maytag,www.maytag.com,https://www.maytag.com/owners-center-pdp.MVW7232HW.html,MVW7232HW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Maytag,producthelp.maytag.com,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Lid_Not_Latching_-_Washer,Maytag top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Amana,www.amana.com,https://www.amana.com/laundry/washers/p.35-cu-ft-top-load-washer-with-dual-action-agitator.NTW4516FW.html,NTW4516FW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Amana,producthelp.amana.com,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Lid_Not_Latching_-_Washer,Amana top-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,model-identity,Electrolux,www.electrolux.com,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7437AW,ELFW7437AW,true,,2026-08-29,Exact family identity source from the current catalog; paired with row-level symptom evidence.
washer,symptom-guidance,Electrolux,owner.electrolux.com,https://owner.electrolux.com/support-articles/article/1820509-laundry-front-loading-washer-displaying-error-code-e41-door-is-open-,Electrolux front-load washers,true,,2026-08-29,Content/applicability reviewed; row-level safety intersection recorded in the gap ledger.
washer,exact-fit-review,Encompass / PartStore,encompass.com,https://encompass.com/model/ZENWM3400CW/ABWEVUS/,WM3400CW.ABWEVUS exact-fit review,false,true,2026-08-29,Blocked: The exact Encompass variation lists more than one drain-pump assembly record/position; it does not prove one exact replacement SKU.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM4000HWA/ABWEUUS/,WM4000HWA.ABWEUUS exact-fit review,false,true,2026-08-29,Blocked: No indexed authorized content was located for stored suffix ABWEUUS; the available ABWEEUS listing is a different revision and exposes multiple drain-pump assemblies.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM4000HWA/ABWEEUS/,WM4000HWA.ABWEUUS exact-fit review,false,true,2026-08-29,Blocked: No indexed authorized content was located for stored suffix ABWEUUS; the available ABWEEUS listing is a different revision and exposes multiple drain-pump assemblies.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT7405CW/ABWEUUS/,WT7405CW.ABWEUUS exact-fit review,false,true,2026-08-29,Blocked: No authorized exact listing was located for stored suffix ABWEUUS; the available ABWETUS listing is a different revision and has multiple pump rows.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT7405CW/ABWETUS/,WT7405CW.ABWEUUS exact-fit review,false,true,2026-08-29,Blocked: No authorized exact listing was located for stored suffix ABWEUUS; the available ABWETUS listing is a different revision and has multiple pump rows.
washer,exact-fit-review,Samsung,www.samsung.com,https://www.samsung.com/us/support/service/warranty/WF46BG6500AVUS/,WF46BG6500AVUS exact-fit review,true,false,2026-08-29,"Blocked: The complete Samsung identity is current, but no official or authorized page was located that maps WF46BG6500AVUS to exactly one drain-pump SKU."
washer,exact-fit-review,Samsung Parts,samsungparts.com,https://samsungparts.com/collections/washer-parts,WF46BG6500AVUS exact-fit review,false,true,2026-08-29,"Blocked: The complete Samsung identity is current, but no official or authorized page was located that maps WF46BG6500AVUS to exactly one drain-pump SKU."
washer,exact-fit-review,Samsung,www.samsung.com,https://www.samsung.com/us/support/service/warranty/WA50R5200AW/US/,WA50R5200AW/US exact-fit review,true,false,2026-08-29,"Blocked: The complete Samsung identity is current, but no official or authorized page was located that maps WA50R5200AW/US to exactly one drain-pump SKU."
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM3600HWA/ABWEUUS/,WM3600HWA.ABWEUUS exact-fit review,false,true,2026-08-29,"Blocked: The stored suffix is ABWEUUS, while the current authorized result is ABWEVUS and lists several pump assemblies. Cross-suffix inference is prohibited."
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM3600HWA/ABWEVUS/,WM3600HWA.ABWEUUS exact-fit review,false,true,2026-08-29,"Blocked: The stored suffix is ABWEUUS, while the current authorized result is ABWEVUS and lists several pump assemblies. Cross-suffix inference is prohibited."
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM5500HWA/ABWEUUS/,WM5500HWA.ABWEUUS exact-fit review,false,true,2026-08-29,Blocked: No current authorized exact listing was located for ABWEUUS. The available ASSEVUS evidence is a different color/revision and cannot be borrowed.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM5500HVA/ASSEVUS/,WM5500HWA.ABWEUUS exact-fit review,false,true,2026-08-29,Blocked: No current authorized exact listing was located for ABWEUUS. The available ASSEVUS evidence is a different color/revision and cannot be borrowed.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT6105CW/BBWETUS/,WT6105CW.BBWETUS exact-fit review,false,true,2026-08-29,"Blocked: The exact BBWETUS listing contains at least two drain-pump assembly SKUs, without an explicit one-SKU replacement/supersession rule."
washer,exact-fit-review,LG,www.lg.com,https://www.lg.com/us/support/product/lg-WT7150CW.ABWETUS,WT7150CW.ABWETUS exact-fit review,true,false,2026-08-29,Blocked: No current authorized exact-revision page was located that maps ABWETUS to one drain-pump SKU.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT7150CW/ABWETUS/,WT7150CW.ABWETUS exact-fit review,false,true,2026-08-29,Blocked: No current authorized exact-revision page was located that maps ABWETUS to one drain-pump SKU.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT7300CW/ABWEUCI/,WT7300CW.ABWEUCI exact-fit review,false,true,2026-08-29,Blocked: No authorized exact listing was located for ABWEUCI; nearby ABWETUS and ABWEUUS pages show multiple pump assemblies and cannot establish this revision.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT7300CW/ABWETUS/,WT7300CW.ABWEUCI exact-fit review,false,true,2026-08-29,Blocked: No authorized exact listing was located for ABWEUCI; nearby ABWETUS and ABWEUUS pages show multiple pump assemblies and cannot establish this revision.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWT7300CW/ABWEUUS/,WT7300CW.ABWEUCI exact-fit review,false,true,2026-08-29,Blocked: No authorized exact listing was located for ABWEUCI; nearby ABWETUS and ABWEUUS pages show multiple pump assemblies and cannot establish this revision.
washer,exact-fit-review,Encompass / PartStore,partstore.encompass.com,https://partstore.encompass.com/model/ZENWM4000HBA/ABLEVUS/,WM4000HBA.ABLEVUS exact-fit review,false,true,2026-08-29,Blocked: The exact ABLEVUS listing contains two drain-pump assembly SKU rows and no explicit supersession selecting one exact replacement.
