rowId,applianceId,brand,modelFamily,loadStyle,symptomId,researchOutcome,supportSourceId,supportSourceUrl,blockedReason
electrolux-elfw7637at__will-not-spin,electrolux-elfw7637at,Electrolux,ELFW7637AT,front-load,will-not-spin,promotable-guided-checks,electrolux-spin-manual-7437-7738,https://frigidaire.bynder.com/m/673fe45bbf48d90f/original/A20448609-en-pdf.pdf,
electrolux-elfw7637at__is-leaking,electrolux-elfw7637at,Electrolux,ELFW7637AT,front-load,is-leaking,promotable-guided-checks,electrolux-leak,https://owner.electrolux.com/support-articles/article/1831358-laundry-front-loading-washer-is-leaking-water-,
ge-gtw465asnww__door-will-not-close,ge-gtw465asnww,GE,GTW465ASNWW,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
ge-gtw585bsvws__door-will-not-close,ge-gtw585bsvws,GE,GTW585BSVWS,top-load,door-will-not-close,blocked,,,The current exact GE support page did not expose a manual or model-applicable closure instruction. The older GTW/HTW manual does not name this family.
maytag-mvw5430mw__will-not-start,maytag-mvw5430mw,Maytag,MVW5430MW,top-load,will-not-start,promotable-guided-checks,maytag-top-start,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,
maytag-mvw5430mw__will-not-spin,maytag-mvw5430mw,Maytag,MVW5430MW,top-load,will-not-spin,promotable-guided-checks,maytag-top-spin,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,
maytag-mvw5430mw__is-leaking,maytag-mvw5430mw,Maytag,MVW5430MW,top-load,is-leaking,promotable-guided-checks,maytag-top-leak,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_from_Front_or_Top_-_Washer,
frigidaire-fftw4120sw__door-will-not-close,frigidaire-fftw4120sw,Frigidaire,FFTW4120SW,top-load,door-will-not-close,promotable-guided-checks,frigidaire-top-closure,https://owner.frigidaire.com/support-articles/article/1829706-laundry-top-loading-washer-displaying-error-code-e3-washer-lid-open-or-lid-lock-failed-,
frigidaire-fffw5000qw__door-will-not-close,frigidaire-fffw5000qw,Frigidaire,FFFW5000QW,front-load,door-will-not-close,blocked,,,No current Frigidaire primary front-load closure article or exact-family manual was located. The top-load E3 article is inapplicable.
amana-ntw4519jw__will-not-start,amana-ntw4519jw,Amana,NTW4519JW,top-load,will-not-start,promotable-guided-checks,amana-top-start,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,
amana-ntw4519jw__will-not-spin,amana-ntw4519jw,Amana,NTW4519JW,top-load,will-not-spin,promotable-guided-checks,amana-top-spin,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,
amana-ntw4519jw__is-leaking,amana-ntw4519jw,Amana,NTW4519JW,top-load,is-leaking,promotable-guided-checks,amana-top-leak,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_Water_Underneath_-_Washer,
hotpoint-htw240askws__door-will-not-close,hotpoint-htw240askws,Hotpoint,HTW240ASKWS,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw240askws__will-not-start,hotpoint-htw240askws,Hotpoint,HTW240ASKWS,top-load,will-not-start,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw240askws__will-not-spin,hotpoint-htw240askws,Hotpoint,HTW240ASKWS,top-load,will-not-spin,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw240askws__is-leaking,hotpoint-htw240askws,Hotpoint,HTW240ASKWS,top-load,is-leaking,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
ge-gfw655ssvww__door-will-not-close,ge-gfw655ssvww,GE,GFW655SSVWW,front-load,door-will-not-close,promotable-guided-checks,ge-front-owner-manual,https://images.salsify.com/image/upload/s--Q2ZqW1dH--/207c3da007ffc1f522fe0a1723081c5d6c09941e.pdf,
ge-gfw850spnrs__door-will-not-close,ge-gfw850spnrs,GE,GFW850SPNRS,front-load,door-will-not-close,promotable-guided-checks,ge-front-owner-manual-850,https://images.salsify.com/image/upload/s--7SJ2Cn5O--/c7cd23acabd0dde381486804fd70bf93a72f5b8b.pdf,
ge-gtw335asnww__door-will-not-close,ge-gtw335asnww,GE,GTW335ASNWW,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
ge-gtw485aswwb__door-will-not-close,ge-gtw485aswwb,GE,GTW485ASWWB,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw265aswww__door-will-not-close,hotpoint-htw265aswww,Hotpoint,HTW265ASWWW,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw265aswww__will-not-start,hotpoint-htw265aswww,Hotpoint,HTW265ASWWW,top-load,will-not-start,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw265aswww__will-not-spin,hotpoint-htw265aswww,Hotpoint,HTW265ASWWW,top-load,will-not-spin,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw265aswww__is-leaking,hotpoint-htw265aswww,Hotpoint,HTW265ASWWW,top-load,is-leaking,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
hotpoint-htw2065sbww__door-will-not-close,hotpoint-htw2065sbww,Hotpoint,HTW2065SBWW,top-load,door-will-not-close,blocked,,,"The exact current support page did not expose a manual or model-applicable closure guidance, and the current HTW240/HTW265 manual does not name HTW2065SBWW."
hotpoint-htw2065sbww__will-not-start,hotpoint-htw2065sbww,Hotpoint,HTW2065SBWW,top-load,will-not-start,blocked,,,"The exact current support page did not expose a manual or model-applicable start guidance, and the current HTW240/HTW265 manual does not name HTW2065SBWW."
hotpoint-htw2065sbww__will-not-spin,hotpoint-htw2065sbww,Hotpoint,HTW2065SBWW,top-load,will-not-spin,blocked,,,"The exact current support page did not expose a manual or model-applicable spin guidance, and the current HTW240/HTW265 manual does not name HTW2065SBWW."
hotpoint-htw2065sbww__is-leaking,hotpoint-htw2065sbww,Hotpoint,HTW2065SBWW,top-load,is-leaking,blocked,,,"The exact current support page did not expose a manual or model-applicable leak guidance, and the current HTW240/HTW265 manual does not name HTW2065SBWW."
maytag-mvw4505mw__will-not-start,maytag-mvw4505mw,Maytag,MVW4505MW,top-load,will-not-start,promotable-guided-checks,maytag-top-start,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,
maytag-mvw4505mw__will-not-spin,maytag-mvw4505mw,Maytag,MVW4505MW,top-load,will-not-spin,promotable-guided-checks,maytag-top-spin,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,
maytag-mvw4505mw__is-leaking,maytag-mvw4505mw,Maytag,MVW4505MW,top-load,is-leaking,promotable-guided-checks,maytag-top-leak,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_from_Front_or_Top_-_Washer,
maytag-mhw5500fw__will-not-start,maytag-mhw5500fw,Maytag,MHW5500FW,front-load,will-not-start,promotable-guided-checks,maytag-front-start,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating_-_Front_Load_Washer,
maytag-mhw5500fw__will-not-spin,maytag-mhw5500fw,Maytag,MHW5500FW,front-load,will-not-spin,promotable-guided-checks,maytag-front-spin,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Spinning/Not_Spinning_-_Front_Load_Washer,
maytag-mhw5500fw__is-leaking,maytag-mhw5500fw,Maytag,MHW5500FW,front-load,is-leaking,promotable-guided-checks,maytag-front-leak,https://producthelp.maytag.com/Laundry/Washers/Front_Load_Washers/Leaking/Leaking_from_Underneath_or_Bottom_-_Front_Load_Washer,
amana-nfw5800hw__will-not-start,amana-nfw5800hw,Amana,NFW5800HW,front-load,will-not-start,promotable-guided-checks,amana-front-start,https://producthelp.amana.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating/Not_Starting_or_Not_Operating_-_Front_Load_Washer,
amana-nfw5800hw__will-not-spin,amana-nfw5800hw,Amana,NFW5800HW,front-load,will-not-spin,promotable-guided-checks,amana-front-spin,https://producthelp.amana.com/Laundry/Washers/Front_Load_Washers/Not_Starting_or_Not_Operating/Not_Spinning/Not_Spinning_-_Front_Load_Washer,
amana-nfw5800hw__is-leaking,amana-nfw5800hw,Amana,NFW5800HW,front-load,is-leaking,promotable-guided-checks,amana-front-leak,https://producthelp.amana.com/Laundry/Washers/Front_Load_Washers/Leaking/Leaking_from_Underneath_or_Bottom_-_Front_Load_Washer,
electrolux-elfw7337aw__will-not-start,electrolux-elfw7337aw,Electrolux,ELFW7337AW,front-load,will-not-start,promotable-guided-checks,electrolux-start,https://owner.electrolux.com/support-articles/article/1853594-how-to-fix-your-front-load-washer-not-starting,
electrolux-elfw7337aw__will-not-spin,electrolux-elfw7337aw,Electrolux,ELFW7337AW,front-load,will-not-spin,promotable-guided-checks,electrolux-spin-manual-7337,https://frigidaire.bynder.com/asset/eba93fb2-1a4d-4766-b03a-81b69b8eba26/A20448610-en-pdf.pdf,
electrolux-elfw7337aw__is-leaking,electrolux-elfw7337aw,Electrolux,ELFW7337AW,front-load,is-leaking,promotable-guided-checks,electrolux-leak,https://owner.electrolux.com/support-articles/article/1831358-laundry-front-loading-washer-is-leaking-water-,
electrolux-elfw7738aa__will-not-start,electrolux-elfw7738aa,Electrolux,ELFW7738AA,front-load,will-not-start,promotable-guided-checks,electrolux-start,https://owner.electrolux.com/support-articles/article/1853594-how-to-fix-your-front-load-washer-not-starting,
electrolux-elfw7738aa__will-not-spin,electrolux-elfw7738aa,Electrolux,ELFW7738AA,front-load,will-not-spin,promotable-guided-checks,electrolux-spin-manual-7437-7738,https://frigidaire.bynder.com/m/673fe45bbf48d90f/original/A20448609-en-pdf.pdf,
electrolux-elfw7738aa__is-leaking,electrolux-elfw7738aa,Electrolux,ELFW7738AA,front-load,is-leaking,promotable-guided-checks,electrolux-leak,https://owner.electrolux.com/support-articles/article/1831358-laundry-front-loading-washer-is-leaking-water-,
ge-gtw325aswww__door-will-not-close,ge-gtw325aswww,GE,GTW325ASWWW,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
lg-wm6500hba__door-will-not-close,lg-wm6500hba,LG,WM6500HBA,front-load,door-will-not-close,promotable-guided-checks,lg-front-closure,https://www.lg.com/us/support/help-library/lg-front-load-washer-error-code-list-CT10000010-20155069413456,
ge-gtw385aswws__door-will-not-close,ge-gtw385aswws,GE,GTW385ASWWS,top-load,door-will-not-close,promotable-guided-checks,ge-hotpoint-top-owner-manual,https://images.salsify.com/image/upload/s--AKgAhUAs--/r4yctjlrytehsjedypih.pdf,
whirlpool-wtw6157pw__door-will-not-close,whirlpool-wtw6157pw,Whirlpool,WTW6157PW,top-load,door-will-not-close,promotable-guided-checks,whirlpool-top-closure,https://producthelp.whirlpool.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Lid_Not_Latching_-_Washer,
maytag-mvw7232hw__door-will-not-close,maytag-mvw7232hw,Maytag,MVW7232HW,top-load,door-will-not-close,promotable-guided-checks,maytag-top-closure,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Lid_Not_Latching_-_Washer,
maytag-mvw7232hw__will-not-start,maytag-mvw7232hw,Maytag,MVW7232HW,top-load,will-not-start,promotable-guided-checks,maytag-top-start,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,
maytag-mvw7232hw__will-not-spin,maytag-mvw7232hw,Maytag,MVW7232HW,top-load,will-not-spin,promotable-guided-checks,maytag-top-spin,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,
maytag-mvw7232hw__is-leaking,maytag-mvw7232hw,Maytag,MVW7232HW,top-load,is-leaking,promotable-guided-checks,maytag-top-leak,https://producthelp.maytag.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_from_Front_or_Top_-_Washer,
amana-ntw4516fw__door-will-not-close,amana-ntw4516fw,Amana,NTW4516FW,top-load,door-will-not-close,promotable-guided-checks,amana-top-closure,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Lid_Not_Latching_-_Washer,
amana-ntw4516fw__will-not-start,amana-ntw4516fw,Amana,NTW4516FW,top-load,will-not-start,promotable-guided-checks,amana-top-start,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Operation/Not_Operating/Not_Starting_-_Washer,
amana-ntw4516fw__will-not-spin,amana-ntw4516fw,Amana,NTW4516FW,top-load,will-not-spin,promotable-guided-checks,amana-top-spin,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Cycle_Concerns/Not_Spinning_-_Washer,
amana-ntw4516fw__is-leaking,amana-ntw4516fw,Amana,NTW4516FW,top-load,is-leaking,promotable-guided-checks,amana-top-leak,https://producthelp.amana.com/Laundry/Washers/Top_Load_Washer/Water/Leaking/Leaking_Water_Underneath_-_Washer,
electrolux-elfw7437aw__door-will-not-close,electrolux-elfw7437aw,Electrolux,ELFW7437AW,front-load,door-will-not-close,promotable-guided-checks,electrolux-closure,https://owner.electrolux.com/support-articles/article/1820509-laundry-front-loading-washer-displaying-error-code-e41-door-is-open-,
electrolux-elfw7437aw__will-not-start,electrolux-elfw7437aw,Electrolux,ELFW7437AW,front-load,will-not-start,promotable-guided-checks,electrolux-start,https://owner.electrolux.com/support-articles/article/1853594-how-to-fix-your-front-load-washer-not-starting,
electrolux-elfw7437aw__will-not-spin,electrolux-elfw7437aw,Electrolux,ELFW7437AW,front-load,will-not-spin,promotable-guided-checks,electrolux-spin-manual-7437-7738,https://frigidaire.bynder.com/m/673fe45bbf48d90f/original/A20448609-en-pdf.pdf,
electrolux-elfw7437aw__is-leaking,electrolux-elfw7437aw,Electrolux,ELFW7437AW,front-load,is-leaking,promotable-guided-checks,electrolux-leak,https://owner.electrolux.com/support-articles/article/1831358-laundry-front-loading-washer-is-leaking-water-,
