"rowId","modelId","brand","model","symptomId","topology","evidenceDecision","activationDisposition","profile","sourceIds"
"maytag-med7230hw__will-not-start","maytag-med7230hw","Maytag","MED7230HW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","maytag-dryer-start"
"maytag-med7230hw__not-heating","maytag-med7230hw","Maytag","MED7230HW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","maytag-electric-dryer-heat"
"maytag-med7230hw__drum-will-not-turn","maytag-med7230hw","Maytag","MED7230HW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","maytag-dryer-tumble"
"amana-ned5800hw__will-not-start","amana-ned5800hw","Amana","NED5800HW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","amana-dryer-start"
"amana-ned5800hw__not-heating","amana-ned5800hw","Amana","NED5800HW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","amana-electric-dryer-heat"
"amana-ned5800hw__drum-will-not-turn","amana-ned5800hw","Amana","NED5800HW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","amana-dryer-tumble"
"electrolux-elfe7337aw__will-not-start","electrolux-elfe7337aw","Electrolux","ELFE7337AW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","electrolux-dryer-start"
"electrolux-elfe7337aw__not-heating","electrolux-elfe7337aw","Electrolux","ELFE7337AW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","electrolux-electric-dryer-heat"
"electrolux-elfe7337aw__drum-will-not-turn","electrolux-elfe7337aw","Electrolux","ELFE7337AW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","electrolux-dryer-stop-overload"
"frigidaire-flve7000aw__will-not-start","frigidaire-flve7000aw","Frigidaire","FLVE7000AW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","frigidaire-dryer-start"
"frigidaire-flve7000aw__not-heating","frigidaire-flve7000aw","Frigidaire","FLVE7000AW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","frigidaire-electric-dryer-heat"
"frigidaire-flve7000aw__drum-will-not-turn","frigidaire-flve7000aw","Frigidaire","FLVE7000AW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","frigidaire-dryer-stop-overload"
"bosch-wtg86403uc01__will-not-start","bosch-wtg86403uc01","Bosch","WTG86403UC/01","will-not-start","compact-condensation-electric-dryer","supported","promotable","dryer-start-visible-only","bosch-dryer-start|bosch-wtg86403uc01-manual"
"bosch-wtg86403uc01__not-heating","bosch-wtg86403uc01","Bosch","WTG86403UC/01","not-heating","compact-condensation-electric-dryer","supported","promotable","dryer-heat-visible-only","bosch-dryer-heat|bosch-wtg86403uc01-manual"
"bosch-wtg86403uc01__drum-will-not-turn","bosch-wtg86403uc01","Bosch","WTG86403UC/01","drum-will-not-turn","compact-condensation-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","bosch-dryer-drum|bosch-wtg86403uc01-manual"
"maytag-med6500mbk__will-not-start","maytag-med6500mbk","Maytag","MED6500MBK","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","maytag-dryer-start"
"maytag-med6500mbk__not-heating","maytag-med6500mbk","Maytag","MED6500MBK","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","maytag-electric-dryer-heat"
"maytag-med6500mbk__drum-will-not-turn","maytag-med6500mbk","Maytag","MED6500MBK","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","maytag-dryer-tumble"
"electrolux-elfe7437aw__will-not-start","electrolux-elfe7437aw","Electrolux","ELFE7437AW","will-not-start","vented-electric-dryer","supported","promotable","dryer-start-visible-only","electrolux-dryer-start"
"electrolux-elfe7437aw__not-heating","electrolux-elfe7437aw","Electrolux","ELFE7437AW","not-heating","vented-electric-dryer","supported","promotable","dryer-heat-visible-only","electrolux-electric-dryer-heat"
"electrolux-elfe7437aw__drum-will-not-turn","electrolux-elfe7437aw","Electrolux","ELFE7437AW","drum-will-not-turn","vented-electric-dryer","supported","promotable-with-safe-profile-fork","dryer-drum-no-manual-rotation","electrolux-dryer-stop-overload"
